,Input Your Factors Returns Here - examples B3 to K3 can be replaced,,,,,,,,,,Input Security Returns here  - examples B3 to K3 can be replaced,,,,,,,,,
,Risk Factor 1 - S&P500,Risk Factor 2,Risk Factor 3,Risk Factor 4,Risk Factor 5,Risk Factor 6,Risk Factor 7,Risk Factor 8,Risk Factor 9,Risk Factor 10,Security Return 1,Security Return 2,Security Return 3,Security Return 4,Security Return 5,Security Return 6,Security Return 7,Security Return 8,Security Return 9,Security Return 10
31/1/00,-0.055648482,0.002433636,0.031500189,-0.002455455,0.0031,0.069808661,0.025587339,0.014855556,0.053233333,-0.024518211,0.005945114,0.010119805,0.009099072,-0.007604725,0.00623804,0.004243137,0.019184701,-0.00600384,-0.002850059,0.008774732
29/2/00,-0.023419635,-0.003695,0.007486413,0.001015,-0.0158,0.060601451,0.155517637,-0.124905025,0.0097,0.0188304,0.077941606,0.023562077,-0.002079715,0.046468589,0.099501478,0.035932318,0.06965862,0.031135307,0.078080073,0.056923859
31/3/00,0.088636197,-0.003998913,-0.004542021,0.003429783,0.0074,-0.011674866,-0.155408728,0.045985054,0.037266667,-0.012374722,-0.000248108,0.006534184,-0.017173968,-0.041054446,0.005996608,0.067107493,-0.022160968,0.039449746,-0.071877792,-0.008570117
28/4/00,-0.035153752,-0.002236613,0.043610213,0.002959954,0.0209,-0.009149749,-0.028112367,0.037049301,-0.041333333,0.017196381,-0.022010597,0.004528142,-0.014938117,-0.025352726,-0.025483992,-0.016254649,-0.013357448,-0.037405785,-0.012445496,-0.036518882
31/5/00,-0.025736197,0.002769617,-0.012792572,0.000500718,-0.0255,0.106136384,-0.033847863,0.062165635,-0.016633333,0.01671593,-0.00291513,0.008709518,0.013109993,-0.009431611,-0.006519696,0.03723388,-0.028962365,-0.001310511,0.004105589,-0.015847694
30/6/00,0.020353617,-0.002104545,-0.017627323,-0.000768182,-0.0411,0.068842531,0.058061942,-0.11992516,-0.0595,0.01430338,0.037172462,0.019787723,0.00464801,0.04093358,0.050303539,0.005395283,0.037905543,0.027520178,0.046066423,0.039846078
31/7/00,-0.020495693,-0.003239545,0.025596223,-0.000867273,0.012,-0.079907595,-0.015958441,0.055048061,-0.1449,0.014432288,-0.009596138,0.000493349,-0.016484431,-0.014568903,-0.008842285,-0.011655958,-0.016971111,-0.01468634,-0.007062258,-0.007735673
31/8/00,0.05526204,-0.003628043,0.026913104,0.00137913,-0.039,0.143310682,8.78E-05,-0.028715795,0.0543,0.012880517,0.050239133,0.014925818,0.050934577,0.039433338,0.061445015,0.027108242,0.043964124,0.044263369,0.026146406,0.031358394
29/9/00,-0.059340518,0.000753043,0.005756049,0.00117087,0.0373,-0.01378617,0.017682495,0.108479947,-0.0913,0.012125362,-0.00767978,0.008459977,-0.009488693,-0.006855615,-0.006368292,0.003570445,-0.009330106,-0.019524819,-0.015066814,-0.01300362
